District,Corresponding Stations
ACHHAM,Mangalsen
ARGHAKHACHI,Khanchikot
BAGLUNG,Baglung
BAITADI,Patan new
BAJHANG,Chainpur Bajhang new aws
BAJURA,Bajura (Martadi)
BANKE,Khajura (Nepalganj)
BARA,Simara Airport
BARDIYA,Gulariya
BHAKTAPUR,Bhaktapur
CHITWAN,Rampur
DADELDHURA,"Dadeldhura, Dadeldhura_AWS"
DAILEKH,Dailekh
DANG,Ghorai (Dang)
DARCHULA,"Darchula New, Mahakali at Darchula (Dattu)"
DHADING,"Dhunibesi, Dhunibesi_delete"
DHANUSHA,Janakpur Airport
DOLAKHA,Charikot
DOLPA,Dunai
DOTI,Dipayal (Doti)
GULMI,Tamghas
HUMLA,"Simikot, Simikot Airport"
ILAM,"Ilam Tea Estate, Ilam Tea State_AWS"
JAJARKOT,"Jajarkot, Jajarkot_AWS"
JHAPA,Gaida (Kankai)
JUMLA,Jumla
KAILALI,Tikapur
KALIKOT,"Manma, Manma_AWS"
KANCHANPUR,Mahendra Nagar
KAPILVASTU,Taulihawa
KASKI,Pokhara Airport
KATHMANDU,"Bagmati River at Sundarijal, Bagmati River at Sundarijal Bridge, Kathmandu Airport"
KAVREPALANCHOWK,Panchkhal
KHOTANG,Diktel
LALITPUR,Khumaltar
LAMJUNG,Khudi Bazar
MAHOTTARI,Jalesor
MAKWANPUR,Hetauda N.F.I.
MANANG,Manang Bhot
MORANG,Biratnagar Airport
MUGU,Gamadi Shree Nagar
MUSTANG,"Jomsom, Jomsom TPB"
MYAGDI,"Gurja Khani, Raughat Khola at Raughat"
NAWALPARASI (BARDAGHAT SUSTA WEST),Parasi
NAWALPARASI EAST,Dumkauli
NUWAKOT,Nuwakot
OKHALDHUNGA,Okhaldhunga
PALPA,Tansen
PANCHTHAR,Phidim (Panchther)
PARBAT,"Kali Gandaki at Modi Beni, Kushma"
PARSA,Birganj
PYUTHAN,"Bijuwar Tar, Bijuwatar"
RAMECHHAP,Manthali
RASUWA,Dhunche
RAUTAHAT,Gaur
ROLPA,"Libang Gaun, Liwang"
RUKUM WEST,"Chaurjhari Tar, Musikot(Rukum-West)"
RUPANDEHI,Bhairahawa Airport
SALYAN,"Salyan Bazaar_AWS, Salyan Bazar"
SANKHUWASABHA,Num
SAPTARI,Rajbiraj
SARLAHI,Karmaiya
SHOLUKHUMBU,Salleri
SINDHULI,Sindhuli Madhi
SINDHUPALCHOWK,Chautara
SIRAHA,Lahan
SUNSARI,Tarahara
SURKHET,Surkhet Airport (Birendranagar)
SYANGJA,Syangja
TANAHU,Bandipur
TAPLEJUNG,Taplejung
TERHATHUM,Terhathum
UDAYAPUR,Udayapur Gadhi
